,Lyric,Number_of_words
89,"I guess we're in deep, I guess we got higher. You'll never believe what I heard on the wire. I know it ain't right, it's getting so tired. If we put up a fight, we'll be fueling the fire. Oh, cause now all the things that we said and done. Twisted around, turned 'em wrong. Feels like all the love is gone. We lost it. We get stuck up inside our heads. Talk shit 'til we're walking dead. Talk shit 'til we're walking dead (dead dead). Why do we care about the rumors, baby?. Yeah, why do we care about the rumors, baby?. Oh, cause I don't need to lie to you. You'll never break my heart. Yeah, you'll find the truth right here in my arms. So can you tell me why do we care about the rumors, baby?. The envy runs deep, the jealousy down low. It's easy to see, but it's harder to let go. We ain't gonna hide (we ain't gonna hide). We know what they don't know. A hell of a ride, I swear I'll hold you close. Oh, cause now all the things that we said and done. Twisted around, turned 'em wrong. Feels like all the love is gone. We lost it. We get stuck up inside our heads. Talk shit 'til we're walking dead. Talk shit 'til we're walking dead (dead dead). Why do we care about the rumors, baby?. Yeah, why do we care about the rumors, baby?. Oh, cause I don't need to lie to you. You'll never break my heart. Yeah, you'll find the truth right here in my arms. So can you tell me why do we care about the rumors, baby?. Try to keep an open heart, try to just let down your guard. Don't, don't care about the rumors, babe. Get out of the gossip game, get out of the haterade. Don't, don't care about, don't care about, don't care about the rumors. (Don't care about, don't care about). Rumors. Rumors, don't care about the rumors. Why do we care about the rumors, baby?. Yeah, why do we care about the rumors, baby?. Oh, cause I don't need to lie to you. You'll never break my heart. Yeah, you'll find the truth right here in my arms. So can you tell me why do we care about the rumors, baby?",394
90,"So. High up. Shouting. Why canÂit everybody look deep. Inside. for hope. That'll make the world open up. They donÂit. Want us. Then we really donÂit want then. They can, hate us. But we wonÂit let that bring us down. It wonÂit bring us down (x2). Runaway. We will wear out our stay. Run away. Taking a holiday. Run away. Lets you 'n me parade. Run away. Then we can have our say. Our lives, matter. So much more than. WhatÂis in their minds. I would, rather. Disappear than live in fear. If. They donÂit, want us. Then we really don't want them!. They can, hate us. But we wonÂit let that bring us down. It wonÂit bring us down (x2). Runaway. We will wear out our stay. Run away. Taking a holiday. Run away. Lets you 'n me parade. Run away. Then we can have our say. Just runaway. Oh, oh!. Just runaway. Oh, oh, oh, oh!. It wonÂit bring us down (x2). Down to the ground. It wonÂit bring us down. It wonÂit bring us down. Runaway we will wear out our stay (x2). Run away taking a holiday. Run away lets you Âin me parade. Run away then we can have our say. Run away. Just run away. Run away. Runaway. Just runaway. Runaway. Then we can have our say. Just runaway. Oh, oh!. Just runaway. Oh, oh!",231
91,Tie up my hands tonight. Don't let me go. Binding my eyes from sight. Binding my soul. Take hold of me. Take hold of me. Sacrifice (x4). Throw bones on the fire. Throw down control. Laying down the law. Lay me down slow. Take hold of me. Take hold of me. I give myself untho the. Sacrifice (x4). I'm your one and only sacrifice. I'm your one and only sacrifice. Binding my soul. Don't let me go. I'm your one and only sacrifice. Don't let me go. Sacrifice (x5),89
92,"I can`t get no satisfaction. I can`t get no satisfaction. But I try, and I try, and I try, and I try. I can`t get no, I can`t get no. When I`m driving in my car. And the man comes on the radio. He`s telling me more and more. About useless information. Supposed to drive my imagination. I can`t get no, oh no, no, no, no. A hey, hey, hey, that`s what I say. I can`t get no satisfaction. I can`t get no satisfaction. But I try, and I try, and I try, and I try. I can`t get no, I can`t get no. I can`t get no, oh no, no, no, no. A hey, hey, hey, that`s what I say",121
93,"Baby, I'm on the hunt. Baby, I got my target on you. Trouble, that's what I want. And I'm gonna do. Just what I have to. Get ur ass down to the front. Go on and roll it out, I dare u. Sorry I'm kinda drunk but. Did u just say ur game. Was brand new. No, I ain't broken, but I. Need a fix. That satisfaction when I. Get my kicks. I'm up all night. I'm outta sight. Don't turn on the light. 'Cuz I'm feeling so shady lately. Come on and take me. Underground deep. Under the dtreet. Come on and take me. Take me down where. Freaks like us can meet. Turn it up, turn it up, turn it up. Turn it way up, don't stop the beat. Come on and turn me, turn me out. 'Cuz I'm feeling so shady lately. Gonna go and get me a shot. Gonna knock it back, forget all. My Blues. Yeah,that really hits the spot. I'm feeling pretty fierce in my. Dancin' shoes. No, I ain't broken, but I. Need a fix. That satisfaction when I. Get my kicks. I'm up all night. I'm outta sight. Don't turn on the light. 'Cuz I'm feeling so shady lately. Come on and take me. Underground deep. Under the dtreet. Come on and take me. Take me down where. Freaks like us can meet. Turn it up, turn it up, turn it up. Turn it way up, don't stop the beat. Come on and turn me, turn me out. 'Cuz I'm feeling so shady lately. I throw more shade than a cloudy day. The brakes don't work, I'm just a. Runaway train. Somebody come and help me out,. All I wanna be is free. I was tryin' to get down, now I can't. Get out. I'm shady lately. Come on and take me. Underground deep. Under the dtreet. Come on and take me. Take me down where. Freaks like us can meet. Turn it up, turn it up, turn it up. Turn it way up, don't stop the beat. Come on and turn me, turn me out. 'Cuz I'm feeling so shady lately. Turn it up, turn it up, turn it up. Turn it way up, don't stop the beat. Come on and turn me, turn me out. 'Cuz I'm feeling so shady lately. Shady lately, that's how I play. They say maybe it's just a phase. Shady late, runaway train. Blame the game, quit blaming the gays. 'Cuz I'm feeling so shady lately",421
94,"See, by now I would have. Learnt just how you love to hurt me. Before I get a chance to speak. You're convinced I'm guilty. God knows I've been a very bad boy. You've been telling me. You've been telling me. But God knows I didn't break your toys but. You're blaming me. You're blaming me. I feel thrown out the window. You seem to enjoy. You don't have to be so. So hard on your boy. You don't have to be so (have to be so). So search and destroy (search and destroy). I feel thrown out the window. (I feel so thrown out the window). You're too hard on your boy. You're too hard on your boy. Now I don't mind a little pain. when I've really earned it yeah. But you got me whipped and chained. when I don't deserve it. God knows I've been a very bad boy. You've been telling me. You've been telling me. But God knows I didn't break your toys but. You're blaming me. You're blaming me. I feel thrown out the window. You seem to enjoy. You don't have to be so. So hard on your boy. You don't have to be so (have to be so). So search and destroy (search and destroy). I feel thrown out the window. (I feel so thrown out the window). You're too hard on your boy. You're too hard on your boy. A-sha-a-sha-ame a-sha-a-sha-ame. (It's a damn). Sha-a-sha-a-a-a-a-a-a-a-a-a-a-a-ame. A-sha-a-sha-amed a-sha-a-sha-amed. (It's a damn). Asha-a-sha-a-a-a-a-a-a-a-a-a-a-a-amed. Asha-a-sha-a-a-a-a-a-a-a-a-a-a-a-amed. (You've got me). A-sha-a-sha-amed a-sha-a-sha-amed. Sha-a-sha-a-a-a-a-a-a-a-a-a-a-a-amed. (You've got me). Sha-a-sha-a-a-a-a-a-a-a-a-a-a-a-amed. A-sha-a-sha-amed a-sha-a-sha-amed. I feel thrown out the window. You seem to enjoy. You don't have to be so. So hard on your boy. You don't have to be so (have to be so). So search and destroy (search and destroy). I feel thrown out the window. (I feel so thrown out the window). You're too hard on your boy. You're too hard on your boy. I feel. Asha-a-sha-a-a-a-a-a-a-a-a-a-a-a-amed. Sha-a-sha-a-a-a-a-a-a-a-a-a-a-a-amed. (You've got me). A-sha-a-sha-amed a-sha-a-sha-amed. (You've got me). A-sha-a-sha-amed a-sha-a-sha-amed",340
95,"I saw a picture of you. Hanging in an empty hallway. I heard a voice that I knew. And I couldn't walk away. It took me back to the end. Of everything. I taste it all I taste it all. The tears again. Outside the rain's fallin' down. There's not a drop that hits me. Scream at the sky but no sound. Is leavin' my lips. It's like I can't even feel. After the way you touched me. I'm not asleep but I'm not awake. After the way you loved me. I can't turn this around. I keep running into walls that I can't break down. I said I just wander around. With my eyes wide shut because of you. I'm a sleepwalker walker walker. I'm a sleepwalker walker walker. Let me out of this dream. Everywhere that I go. I see another memory. And all the places we used to know. They're always there to haunt me. I walk around and I feel so lost and lonely. You're everything that I want. But you don't want me. I can't turn this around. I keep running into walls that I can't break down. I said I just wander around. With my eyes wide shut because of you. I'm a sleepwalker walker walker. I'm a sleepwalker walker walker. Let me out of this dream, dream. Let me out of this dream. I can't turn this around. I keep running into walls that I can't break down. I said I just wander around. With my eyes wide shut because of you. I'm a sleepwalker walker walker. I'm a sleepwalker walker walker. I'm a sleepwalker walker walker. I'm a sleepwalker walker walker. Let me out of this dream",285
96,"Slow ride. Take it easy. Slow ride. Take it easy. I'm in the mood. the rhythm is right. Move to the music. we can roll all night. Oooh, oooh, slow ride - oooh, oooh ?. Slow ride. Slow ride. Take it easy. Slow ride. Take it easy. Slow down. go down. got to get your lovin' one more time. Hold me. help me. slow ridin' woman you're so fine. Slow ride. Take it easy. Slow ride. Take it easy. Slow ride",81
97,You turn. Just to spite me. You run. Where i can not see. You walk. All over me. But you won't. You won't. You know. What you'll never be. You show. All your pleasantries. You'd love. To lash out at me. But you won't. No you won't. Everytime i hear the sound. Of footsteps walking up to a door. I turn around and i don't see your face. Inside my mind anymore.. The circle is now complete. The loser admits defeat. They're taking us by surprise. No one will realize. You want. What you can't posses. You love. For me to confess. You said. That you were the best. But you're not. No you're not. And tell me i'll do it. It's nothing at all. Slipping through my fingers. Losing grip and i. Can see that you fall. The circle is now complete. The loser admits defeat. They read in between the lines. No-one will realize. The circle is now complete (x2). The circle (x2). Turn to spin the wheel. And turn me out to. Where there's nothing at all.,180
98,"I'm the rush of a bleeding heart. I'm the bruise of a rough start. I'm the dust that ignites the spark. Oh, man I was dark. They say that I blew like a night sky. That I'm too weird to live, too rare to die. I tried to blow my mind a million times. But I got a light. And it's burning still. And it's burning still. And it's burning still. And it's burning. I am the light. I am the light. The light, the light, the light, the light, the light. I am the fire and you are the rain. Washing me out to drown the flame. I am the fire and you are the rain. Washing me out. I am the fire and you are the rain. Washing me out to drown the flame. I am the fire and you are the rain. Washing me out. I'm a prisoner on the run. I am the moon that reflects the sun. I am a meteor and I am un-won. Oh, man I was alone. They say that I'm new that I'm evergreen. That I will rage against the machine. I am never something in between. But I got a light. And it's burning still. And it's burning still. And it's burning still. And it's burning. I am the light. I am the light. The light, the light, the light, the light, the light. I am the fire and you are the rain. Washing me out to drown the flame. I am the fire and you are the rain. Washing me out. I am the fire and you are the rain. Washing me out to drown the flame. I am the fire and you are the rain. And it's washing me out. I am the fire. I am the light. The light, the light, the light, the light",308
99,"People say I'm the life of the party. 'Cause I make a joke or two.. Although I might be laughing loud. Deep inside, I'm blue.... So take a good look at my face,. You'll see my smile looks out of place.. Just look closer, its easy to trace. The tracks of my tears.... I need you, need you.... Since you left me,. If you see me with sobody else,. Seeming like im having fun,. Although may be cute,. Shes is a substitute.. Cause youre the permanent one.... So take a good look at my face,. Youll see my smile looks out of place.. Just look closer, its easy to trace. The tracks of my tears.... I'm masquerading.... My hope is fading.... Oh yeah, since you put me down,. My smile is my make-up I wear. Since my break-up with you.... So take a good look at my face,. Youll see my smile looks out of place.. Just look closer, its easy to trace. The tracks of my tears...",168
100,"You say you want the truth, but you can't take it. So I give you lies, I give you lies. You say you want the best, but you destroy it. So I keep it inside, I keep it inside. I tell you something: it's a double-edged sword you're giving. And I can't see the truth in living. When we hide with a wall of fear. And you don't see it; it's a twisted dream you believe in. And what's the use in pretending?. Let's make the smoke and mirrors disappear. So there, I said it. And I won't apologize to you anymore. Cause I'm a grown-ass man, and I won't live again. And I'm sick and tired of living in your shadows. So there, I said it. And I won't apologize to you anymore. Cause I'm a grown-ass man, and I don't understand. Why I should be living in the shadows. So there, I said it. You wanna hear my voice, my mind, my demons. But not too much or you'll give up. I tell you something: it's a double-edged sword you're giving. And I can't see the truth in living. When we hide with a wall of fear. And you don't see it; it's a twisted dream you believe in. And what's the use in pretending?. Let's make the smoke and mirrors disappear. So there, I said it. And I won't apologize to you anymore. Cause I'm a grown-ass man, and I won't live again. And I'm sick and tired of living in your shadows. So there, I said it. And I won't apologize to you anymore. Cause I'm a grown-ass man, and I don't understand. Why I should be living in the shadows. So there, I said it",290
101,"Maybe I got it wrong. How did I turn you off?. Cause now you're out of my reach. Maybe I played too safe. How did I pull away?. Am I too blinded to see?. I'd been hoping you'd catch up somehow. Like I'm way too far ahead. Every time I think I'm gaining ground. I'm misunderstood again. I thought that I said it. In the things that I didn't say. I thought that you felt it. In the games that I didn't play. So let the record show. I never let you go. Can we get back on track?. Oh, I thought that I said it. In the things that I didn't say. Ooh-ooh (hey hey) , ooh-ooh (hey hey) , ooh-ooh (hey hey). In the things that I didn't say. Ooh-ooh (hey hey) , ooh-ooh (hey hey) , ooh-ooh (hey hey). In the things that I didn't say. What if I shout it out?. What if I take a vow?. Wouldn't you think it's too much?. What do you want from me?. Thought it was going deep. Guess it was never enough. I'd been hoping you'd catch up somehow. Like I'm way too far ahead. Every time I think I'm gaining ground. I'm misunderstood again. I thought that I said it. In the things that I didn't say. I thought that you felt it. In the games that I didn't play. So let the record show. I never let you go. Can we get back on track?. Oh, I thought that I said it. In the things that I didn't say. Ooh-ooh (hey hey) , ooh-ooh (hey hey) , ooh-ooh (hey hey). In the things that I didn't say. Ooh-ooh (hey hey) , ooh-ooh (hey hey) , ooh-ooh (hey hey). In the things that I didn't say. I thought I told you (in the things, in the things). I thought I told you (in the things, in the things). I thought I told you (in the things, in the things). (In the things, in the things). I thought that I said it. In the things that I didn't say. I thought that you felt it. In the games that I didn't play. So let the record show. I never let you go. Can we get back on track?. Oh, I thought that I said it. In the things that I didn't say. Ooh-ooh (hey hey) , ooh-ooh (hey hey) , ooh-ooh (hey hey). In the things that I didn't say. Ooh-ooh (hey hey) , ooh-ooh (hey hey) , ooh-ooh (hey hey). In the things that I didn't say",429
102,"Well, I was walkin' for some time. When I came across this sign. Saying: who are you and where are you from?. We don't like when visitors come. No trespassing, that's what it said. At least that's what I could read. No trespassers? Yeah, my ass!. Wait 'til ya get a load of me. One day I was trippin'. And that's when I could see. That the ether that I tapped into. Could be reality. It was great. That's when I climbed that optimistic vine. Once I hit that mountain peak. I began to lose my mind. I don't need no sympathy. I won't cry and whine. Life's my light and liberty. And I shine when I wanna shine. Make their faces crack. There's no turning back, let's go. Well, I was walkin' for some time. When I came across this sign. Saying: who are you and where are you from?. We don't like when visitors come. No trespassing, that's what it said. At least that's what I could read. No trespassers? Yeah, my ass!. Wait 'til ya get a load of me. I ain't got B.S. in my bag. That's the one thing you can believe. My heart is cold, my body is glass. Come on baby, can't you see. I dont need no GPS. To show me where to go. But I can turn into the north pole. And show you what is cold. I don't need no sympathy. I won't cry and whine. Life's my light and liberty. And I shine when I wanna shine. Make their faces crack. There's no turning back. Let's go!. Well, I was walkin' for some time. When I came across this sign. Saying: who are you and where are you from?. We don't like when visitors come. No trespassing, that's what it said. At least that's what I could read. No trespassers? Yeah, my ass!. Wait 'til ya get a load of me. Wait 'til ya get a load of me. I said wait 'til ya get a load of me. I ain't stayin' at home. I got places to roll. I ain't stayin' at home. I don't need no sympathy. I won't cry and whine. Life's my light and liberty. And I shine when I wanna shine. Let's go!. Well, I was walkin' for some time. When I came across this sign. Saying: who are you and where are you from?. We don't like when visitors come. No trespassing, that's what it said. At least that's what I could read. No trespassers? Yeah, my ass!. Wait 'til ya get a load of me",433
103,I'm seeking a man's salvation. But I know that it shows I'm next. to you turning on. And I'm feeling my liberation. Till the dawn till the dawn. And I'm inside you turning on. Your turning on. Turning on. Your turning on. I'm a racing towards exploitation. Holding on holding on. Ta ta turning on. And I'm getting so saturated. And I long and I long to be tasting. You turning on. Your turning on. Turning on. Your turning on. Turning on. I'm pulsing without you. Your turning on. Do you like to be hunted. By a snake in the grass. And now you're spinning above him. You'll be too little to last. Take our time and we'll get there. A sacred journey we're on. Come on lover and invite me. Keep me high till dawn. . Your turning on. Turning on,142
104,"Strip away the flesh and bone. Look beyond the lies you've known. Everybody wants to talk about a freak. No one wants to dig that deep. Let me take you underneath. Baby better watch your step. Never mind what's on the left. You gonna see things you might don't wanna see. It's still not that easy to me. Underneath. A red river of screams. Underneath. Tears in my eyes. Underneath. Stars in my black and blue sky. And underneath, under my skin,. Underneath, the depths of my sin. Look at me, now do you see?. Welcome to my world of truth. I don't wanna hide,. Any part of me from you. I'm standing here with no apologies. Such a beautiful release,. You inside of me. A red river of screams. Underneath. Tears in my eyes. Underneath. Stars in my black and blue sky. And underneath, under my skin,. Underneath, the depths of my sin. Look at me, now do you see?. Underneath, underneath, underneath. Underneath, underneath, yeah. Welcome to my world of truth. A red river of screams. Underneath. Tears in my eyes. Underneath. Stars in my black and blue sky. And underneath, under my skin,. Underneath, the depths of my sin. Look at me, now do you see?. Underneath, underneath, underneath. Look at me, do you see?. Look at me, do you see?. Welcome to my world of truth. I don't wanna hide any part of me from you",240
105,"Moonshine on the bayou. Love shrine, break the taboo. I wanna know what's in your potion. Bound by total devotion. I was looking for love all over. You're the hunter, and I'm your prey. Now I'm lost and our love ain't over. I try to leave but I have to stay. Coz it's voodoo, voodoo, voodoo, voodoo. (under your spell). Coz it's voodoo, voodoo, voodoo, voodoo. (under your spell). Swamp sings, all the bizarre. Snake bites, aligning stars. I'm enraptured, there is no cure. No sanctuary from your love. I was looking for love all over. You're the hunter, and I'm your prey. Now I'm lost and our love ain't over. I try to leave but I have to stay. Coz it's voodoo, voodoo, voodoo, voodoo. (under your spell). Coz it's voodoo, voodoo, voodoo, voodoo. (under your spell). Coz the voodoo you do is all that can do to make me into your fool. Coz you do voodoo I'm just like a doll that the pins keep pushing into. So every time I try to break this trance. I'm so afraid I'll miss my chance, to be bewitched. bothered by you. I just gotta say I want your hips, I don't want to. live without your hits. I'm so obsessed with your sexiness, yeeee---ah. Coz it's voodoo, voodoo, voodoo, voodoo. (under your spell). Coz it's voodoo, voodoo, voodoo, voodoo. (under your spell). Coz it's voodoo, voodoo, voodoo, voodoo. (under your spell). Coz it's voodoo, voodoo, voodoo, voodoo. (under your spell). Obsessed with your sexiness",254
106,"November. Not much to remember. You were not inside. December. Changed the weather. You were by my side. Love is all we want. Love.... Love is all we need. Is all that we really want. No matter. Where the days goes. I know you're closed by. Changes in the seasons. Its just whats required. Love is all we want. Love.... Love is all we need. Is all that we really want. Love is all we want. Love.... Love is all we need. Is all that we really want. Yeah!. Love. Love is all we want. What we want. Its what really need. Love, love, love. Love is all we want. What we want. Its what really need. Love. Is what we want. Is what we really want",127
107,"Twenty-five years and my life is still. I'm trying to get up that great big hill of hope. For a destination. I realized quickly when I knew I should. That the world was made up for this. Brotherhood of man. For whatever that mean. And so I cry sometimes when I'm lying in bed. Just to get it all out what's in my head. And I, I am feeling a little peculiar. And so I wake in the morning and I step outside. And I take deep breath. And I get real high. And I scream from the top of my lungs. What's going on?. And I sing hey-yeah-yea-eah, eah hey yea yea. I said hey! what's goin' on?. And I sing hey-yeah-yea-eah, eah hey yea yea. I said hey! what's going on?. And I try, oh my God do I try. I try all the time. In this institution. And I pray, oh my God do I pray. I pray every single day. For a revolution. And so I wake in the morning and I step outside. And I take deep breath. And I get real high. And I scream from the top of my lungs. What's going on?. And so I cry sometimes when I'm lying in bed. Just to get it all out what's in my head. And I scream What's going on. And I sing hey-yeah-yea-eah, eah hey yea yea. I said hey! what's goin' on?. And I sing hey-yeah-yea-eah, eah hey yea yea. I said hey! what's going on?. Twenty-five years of my life is still. I'm trying to get up that great big hill of hope. For a destination",275
108,"You need coolin'. Baby, I'm not foolin'. I'm gonna send, yeah. You back to schoolin'. Way down inside. Honey, you need it. I'm gonna give you my love. I'm gonna give you my love. Oh.... Wanna whole lotta love. Wanna whole lotta love. Wanna whole lotta love. You've been learnin'. Baby, I been learnin'. All that good times. Baby, baby, I've been yearnin'. Way, way down inside. Honey, you need it. I'm gonna give you my love. I'm gonna give you my love. Keep it coolin', baby. Keep it coolin', baby. Keep it coolin', baby. Lotta love, oh yeah. Way down inside. Woman, you need love",106
109,So it would appear. I left my heart here. And it would be fair to say. I've been swept away. So move in right along. For you I wrote this song. If I'm a fool. So this fool will never be with you. Oh yeh I know. For just when I thought that we could make it. Realty strikes me down. For I don't want tomorrow. Just give me some today. I'll be on first train back home to yesterday. Yesterday. To yesterday. Leave me on the hell. For 50 years. Dancing there. Leave me where you will. I'm very well. You are. Wonderful. Oh yes you are. You are the star. Yes you are. Yes you are. You are the star. So keep well. And travel safe. You are. Wonderful,131
110,"I've always been the kind of girl. That hid my face. So afraid to tell the world what I've got to say. But I have this dream right inside of me. I'm gonna let it show. It's time. To let you know,. To let you know. This is real, this is me. I'm exactly where I'm supposed to be now. Gonna let the light shine on me. Now I've found, who I am. There's no way to hold it in. No more hiding who I wanna be. This is me. Do you know what its like. to feel so in the dark. To dream about a life where you're the shining star. Even though it seems. Like is too far away. I have to believe in myself, its the only way. This is real, this is me. I'm exactly where I'm supposed to be now. Gonna the light shine on me. Now I've found, who I am. There's no way to hold it in. No more hiding who I wanna be. This is me. You're the voice I hear inside my head. The reason that I'm singing. I need to find you, I gotta find you. You're the missing piece I need. the song inside on me. I need to find you (I need to find you). I gotta find you (I gotta find you). This is real, this is me. I'm exactly where I'm supposed to be now. Gonna let the light shine on me. Now I've found, who I am. There's no way to hold it in. No more hiding who I wanna be. You're the missing piece I need (This is me). the song inside on me. You're the voice I hear inside my head (This is me). The reason that I'm singing( Yeah). And I've found Who I am. There's no way to hold it in. No more hiding who I wanna be. This is me",320
111,"I'm good at wasting time,. I think lyrics need to rhyme,. And you're not asking,. But I'm trying to grow a mustache. I eat cheese,. But only on pizza, please,. And sometimes on a homemade quesadilla. Otherwise it smells like feet to me. And I, I really like it. When the moon looks like a toenail. And I love it when you say my name. If you wanna know, here it goes, gonna tell you there's a. part of me that shows,. If we're close gonna let you see,. Everything. But remember that you asked for it. I'm trying to do my best to impress. But it's easier to let you. Take a guess at the rest. But you wanna hear what lives in my brain,. My heart,. Well you asked for it. For your perusing,. At times confusing,. Slightly amusing,. Introducing Me. do-do do-do-do-do-do. do-do do-do-do-do-do. la-da-da-da la-da-da-da-da-da-da-da-da. I never trust a dog to watch my food. And I like to use the word ""dude"". as a noun or an adverb or an adjective. And I, I've never really been into cars. I like really cool guitars and superheroes. And checks with lots of zeros on them. I love the sound of violins and making someone smile. If you wanna know, here it goes, gonna tell you there's a. part of me that shows,. If we're close gonna let you see,. Everything. But remember that you asked for it. I'm trying to do my best to impress. But it's easier to let you. Take a guess at the rest. But you wanna hear what lives in my brain,. My heart,. Well you asked for it. For your perusing,. At times confusing,. Possibly amusing,. Introducing me. Well, you probably know more than you ever wanted to. So be careful when you ask next time.. So, if you wanna know, here it goes, gonna tell you there's a. part of me that shows,. If we're close gonna let you see,. Everything. But remember that you asked for it. I'm trying to do my best to impress. But its easier to let you. Take a guess at the rest. But you wanna hear what lives in my brain,. My heart,. Well you asked for it. For your perusing,. At times confusing,. hopefully amusing,. Introducing me. do-do do-do-do-do-do. do-do do-do-do-do-do. Introducing me",389
112,"Everytime I think I'm closer to the heart. Of what it means to know just who I am. I think I've finally found a better place to start. But no one ever seems to understand. I need to try to get to where you are. Could it be you're not that far. You're the voice I hear inside my head. The reason that I'm singing. I need to find you. I gotta find you. You're the missing piece I need. The song inside of me. I need to find you. I gotta find you. Oh yeah. Yeah, yeah. You're the remedy I'm searching hard to find. To fix the puzzle that I see inside. Painting all my dreams, the color of your smile. When I find you it will be alright. I need to try to get to where you are. Could it be you're not that far. You're the voice I hear inside my head. The reason that I'm singing. I need to find you. I gotta find you. You're the missing piece I need. The song inside of me. I need to find you. I gotta find you. Being feeling lost, can't find the words to say. Spending all my time, stuck in yesterday. Where you are is where I wanna be. Oh, next to you. You next to me. Oh, I need to find you. Yeah. You're the voice I hear inside my head. The reason that I'm singing. I need to find you. I gotta find you. You're the missing piece I need. The song inside of me. I need to find you. I gotta find you. You're the voice I hear inside my head. The reason that I'm singing. I need to find you. I gotta find you. You're the missing piece I need. The song inside of me. I need to find you. I gotta find you. Yeah, yeah. I gotta find you",319
113,"It's like. He doesn't hear a word I say. His mind is somewhere far away. And I don't know how to get there. It's like. (She's way too serious). All he wants is to chill out. (She's always in a rush). He makes me wanna pull all my hair out. ( and interrupted). Like he doesn't even care. (Like she doesn't even care). You,. (Me). We're face to face. But we don't see eye to eye. Like fire and rain. (Like fire and rain). You can drive me insane. (You can drive me insane). But I can't stay mad at you for anything. We're Venus and Mars. (Venus and Mars). We're like different stars. (Like different stars). You're the harmony to every song I sing. And I wouldn't change a thing. She's always trying to save the day. Just wanna let my music play. She's all or nothing. But my feelings never change. Why, does he try to read my mind. (I try to read her mind). It's not good to psychoanalyze. (She tries to pick a fight to get attetion). That's what all of my friends say. You,. (Me). We're face to face. But we don't see eye to eye. Like fire and rain. (Fire and rain). You can drive me insane. (You can drive me insane). But I can't stay mad at you for anything. We're Venus and Mars. (Venus and Mars). We're like different stars. (Like different stars). You're the harmony to every song I sing. And I wouldn't change a thing. When I'm YES she's NO. When I hold on he just let's go. We're perfectly imperfect. But I wouldn't change a thing. Like fire and rain!. (Fire and rain). You can drive me insane. (You can drive me insane). But I can't stay mad at you for anything. We're Venus and Mars. (Venus and Mars). We're like different stars. (Like different stars). You're the harmony to every song I sing. And I wouldn't change a thing. But I can't stay mad at you for anything. We're Venus and Mars. (Venus and Mars). We're like different stars. (Like different stars). You're the harmony to every song I sing. And I wouldn't change a, wouldn't change a thing",371
114,"Cause we rock. We rock. We rock on. We rock. We rock on. Come as you are. You're a superstar. World's in your pocket. And you know it. You can feel that beat. Running through your feet. Heart's racing fast. You're rock and rolling. All that you need is the music. To take you to some other place. Where you know you belong. Raise your hands up in the air and scream. We're finding our voice, following our dreams.. 'Cause we rock, we rock, we rock, we rock on. Nobody in the world's gonna bring us down. The louder we go, well the better we sound.. 'Cause we rock, we rock, we rock, we rock on. (We rock, we rock, we rock on). (We rock, we rock, we rock on). We're finally letting go. Losing all control. Won't stop ourselves. 'Cause we love it. We're not afraid to be. Everything you see. No more hiding out. We're gonna own it. All that you need is the music. To take you to some other place. Where you know you belong. Raise your hands up in the air and scream. We're finding our voice, following our dreams.. 'Cause we rock, we rock, we rock, we rock on. Nobody in the world's gonna bring us down. The louder we go, well the better we sound.. 'Cause we rock, we rock, we rock, we rock on. Got the music in our souls. And it's the thing we want the most. It's picks us up when we fall down. And turns our world around. (Camp Rock). We rock, we rock on. Every day and every night.... 'Cause we rock (camp rock). We rock, we rock on. It's all we wanna do in life. Raise your hands up in the air and scream. We're finding our voice, following our dreams.. 'Cause we rock, we rock, we rock, we rock on. Nobody in the world's gonna bring us down. The louder we go, well the better we sound.. 'Cause we rock, we rock, we rock, we rock on. Raise your hands up in the air and scream. We're finding our voice, following our dreams.. 'Cause we rock, we rock, we rock, we rock on. Nobody in the world's gonna bring us down. The louder we go, well the better we sound.. 'Cause we rock, we rock, we rock, we rock on. We rock, we rock. We rock on. We rock, we rock. Camp rock!",407
